"League:  
Ligue des Champions UEFA"
Team 1,Team 2,Score
Leipzig,Sporting,2:1
Shakhtar,Brest,2:0
Milan,Girona,1:0
Sparta,Inter Milan,0:1
Celtic,Young Boys,1:0
PSG,Man City,4:2
Real Madrid,Salzbourg,5:1
Arsenal,Dinamo Zagreb,3:0
Feyenoord,Bayern Munich,3:0
